Title,Company,Publish Date,Expiration Date,Link
Küberturbe praktikant (Pythoni arendaja),RMIT,15.08.2025,31.08.2025,https://www.cv.ee/et/vacancy/1416603/rmit/küberturbe-praktikant-(pythoni-arendaja)
QA Developer,Interactive Brokers Software Services Estonia,14.08.2025,31.08.2025,https://www.cv.ee/et/vacancy/1409421/interactive-brokers-software-services-estonia/qa-developer
Database Administrator,VG Estonia OÜ,13.08.2025,13.09.2025,https://www.cv.ee/et/vacancy/1415256/vg-estonia-oü/database-administrator
QA Engineer,Wallester AS,06.08.2025,06.09.2025,https://www.cv.ee/et/vacancy/1411760/wallester-as/qa-engineer
Data Engineer,VG Estonia OÜ,29.07.2025,29.08.2025,https://www.cv.ee/et/vacancy/1408117/vg-estonia-oü/data-engineer
Back End Developer,Selkirk Sport OÜ,12.08.2025,12.09.2025,https://www.cv.ee/et/vacancy/1414978/selkirk-sport-oü/back-end-developer
Database Administrator,Entain,19.08.2025,04.09.2025,https://www.cv.ee/et/vacancy/1410631/entain/database-administrator
DATABASE OPERATIONS ENGINEER,Entain,13.08.2025,22.08.2025,https://www.cv.ee/et/vacancy/1405702/entain/database-operations-engineer
Operations Engineer,Playtech Estonia OÜ,19.08.2025,04.09.2025,https://www.cv.ee/et/vacancy/1410234/playtech-estonia-oü/operations-engineer
Operations Engineer,Playtech Estonia OÜ,19.08.2025,04.09.2025,https://www.cv.ee/et/vacancy/1410235/playtech-estonia-oü/operations-engineer
Model Validation Specialist,Swedbank AS,15.08.2025,28.08.2025,https://www.cv.ee/et/vacancy/1416517/swedbank-as/model-validation-specialist
Sr Software Development Engineer in Test,Malwarebytes Estonia OÜ,05.08.2025,05.09.2025,https://www.cv.ee/et/vacancy/1411431/malwarebytes-estonia-oü/sr-software-development-engineer-in-test
Senior Cloud Engineer,Riverty ,25.07.2025,25.08.2025,https://www.cv.ee/et/vacancy/1406829/riverty-/senior-cloud-engineer
Senior Data Engineer,Riverty ,05.08.2025,05.09.2025,https://www.cv.ee/et/vacancy/1411378/riverty-/senior-data-engineer
Application Security Engineer,Playtech Estonia OÜ,19.08.2025,11.09.2025,https://www.cv.ee/et/vacancy/1413630/playtech-estonia-oü/application-security-engineer
Application Security Engineer,Playtech Estonia OÜ,19.08.2025,11.09.2025,https://www.cv.ee/et/vacancy/1413632/playtech-estonia-oü/application-security-engineer
CloudOps Team Lead,Wrike,18.08.2025,20.09.2025,https://www.cv.ee/et/vacancy/1417394/wrike/cloudops-team-lead
Arendaja (testide andmekogu),Haridus- ja Noorteamet,18.08.2025,31.08.2025,https://www.cv.ee/et/vacancy/1417054/haridus--ja-noorteamet/arendaja-(testide-andmekogu)
Energiaturgude REMIT analüütik,Elering AS,07.08.2025,04.09.2025,https://www.cv.ee/et/vacancy/1412602/elering-as/energiaturgude-remit-analüütik
Monitooringu spetsialist,Bigbank AS,06.08.2025,20.08.2025,https://www.cv.ee/et/vacancy/1412029/bigbank-as/monitooringu-spetsialist
